Feature,County,Cnty ID,Type,Prefecture,Pref ID,CNTY_X_COOR,CNTY_Y_COOR,PREF_X_COOR,PREF_Y_COOR
兰池,长安,70623,lake,京兆尹,212275,108.93719,34.31799,108.93719,34.31799
曲邮,长安,70623,undetermined,京兆尹,212275,108.93719,34.31799,108.93719,34.31799
杜邮,长安,70623,undetermined,京兆尹,212275,108.93719,34.31799,108.93719,34.31799
枳道亭,霸陵,70646,admin,京兆尹,212275,109.06952,34.36034,108.93719,34.31799
长门亭,霸陵,70646,admin,京兆尹,212275,109.06952,34.36034,108.93719,34.31799
酆,杜陵,70633,undetermined,京兆尹,212275,108.92208,34.1845,108.93719,34.31799
骊山,新丰,70725,mount,京兆尹,212275,109.25768,34.39895,108.93719,34.31799
鸿门亭,新丰,70725,admin,京兆尹,212275,109.25768,34.39895,108.93719,34.31799
戏亭,新丰,70725,admin,京兆尹,212275,109.25768,34.39895,108.93719,34.31799
掫城,新丰,70725,walled,京兆尹,212275,109.25768,34.39895,108.93719,34.31799
美玉,蓝田,70749,resource,京兆尹,212275,109.14697,34.23927,108.93719,34.31799
冢领山,上雒侯国,200093,mount,京兆尹,212275,109.93246,33.86989,108.93719,34.31799
雒水,上雒侯国,200093,river,京兆尹,212275,109.93246,33.86989,108.93719,34.31799
菟和山,上雒侯国,200093,mount,京兆尹,212275,109.93246,33.86989,108.93719,34.31799
苍野聚,上雒侯国,200093,sett,京兆尹,212275,109.93246,33.86989,108.93719,34.31799
河水祠,临晋,70295,shrine,左冯翊,hvd_116218,110.11311,34.7793,109.08048,34.53333
芮乡,临晋,70295,admin,左冯翊,hvd_116218,110.11311,34.7793,109.08048,34.53333
王城,临晋,70295,walled,左冯翊,hvd_116218,110.11311,34.7793,109.08048,34.53333
梁山,夏阳,70312,mount,左冯翊,hvd_116218,110.41963,35.39751,109.08048,34.53333
龙门山,夏阳,70312,mount,左冯翊,hvd_116218,110.41963,35.39751,109.08048,34.53333
丰水,鄠,70747,river,右扶风,hvd_116125,108.6039,34.11182,108.93719,34.31799
甘亭,鄠,70747,admin,右扶风,hvd_116125,108.6039,34.11182,108.93719,34.31799
邰亭,郿,70930,admin,右扶风,hvd_116125,107.83877,34.29156,108.93719,34.31799
太一山,武功,70249,mount,右扶风,hvd_116125,108.10019,34.25887,108.93719,34.31799
垂山,武功,70249,mount,右扶风,hvd_116125,108.10019,34.25887,108.93719,34.31799
斜谷,武功,70249,valley,右扶风,hvd_116125,108.10019,34.25887,108.93719,34.31799
吴岳山,汧,qian,mount,右扶风,hvd_116125,106.843505,34.89998,108.93719,34.31799
汧水,汧,qian,river,右扶风,hvd_116125,106.843505,34.89998,108.93719,34.31799
回城,汧,qian,walled,右扶风,hvd_116125,106.843505,34.89998,108.93719,34.31799
铁,雍,yong,resource,右扶风,hvd_116125,107.406804,34.528092,108.93719,34.31799
豳乡,栒邑,70415,admin,右扶风,hvd_116125,108.37369,35.21846,108.93719,34.31799
岐山,美阳,85552,mount,右扶风,hvd_116125,117.21648,37.62167,108.93719,34.31799
周城,美阳,85552,walled,右扶风,hvd_116125,117.21648,37.62167,108.93719,34.31799
漆水,漆,70203,river,右扶风,hvd_116125,108.07799,35.03966,108.93719,34.31799
铁,漆,70203,resource,右扶风,hvd_116125,108.07799,35.03966,108.93719,34.31799
