NAME_PY;NAME_CH;NAME_FT;X_COOR;Y_COOR;PRES_LOC;TYPE_PY;TYPE_CH;LEV_RANK;勘誤;BEG_YR;BEG_RULE;END_YR;END_RULE;NOTE_ID;OBJ_TYPE;SYS_ID;GEO_SRC;COMPILER;GEOCOMPLR;CHECKER;END_DATE;BEG_CHG_TY;END_CHG_TY
Shuncong Xian;顺从县;順從縣;117.93291;35.35534;今山东费县西北西费城;Xian;县;6;正確;14;;23;;85599;POINT;85599;FROM_FD;;;;;更名;更名
Fei Xian;费县;費縣;117.93291;35.35534;今山东费县西北西费城;Xian;县;6;正確;23;;79;;85600;POINT;85600;FROM_FD;;;;;更名;更名
Nanwuyang Xian;南武阳县;南武陽縣;117.62941;35.50589;今山东平邑县;Xian;县;6;正確;-122;;13;;85607;POINT;85607;FROM_FD;;;;;新建;更名
Huanxuan Xian;桓宣县;桓宣縣;117.62941;35.50589;今山东平邑县;Xian;县;6;正確;14;;23;;85608;POINT;85608;FROM_FD;;;;;更名;更名
Nanwuyang Xian;南武阳县;南武陽縣;117.62941;35.50589;今山东平邑县;Xian;县;6;正確;23;;79;;85609;POINT;85609;FROM_FD;;;;;更名;更名
Hua Xian;华县;華縣;118.18964;35.32058;今山东费县东偏北古城里;Xian;县;6;正確;-122;;13;;85613;POINT;85613;FROM_FD;;;;;新建;更名
Yiyin Xian;翼阴县;翼陰縣;118.18964;35.32058;今山东费县东偏北古城里;Xian;县;6;正確;14;;23;;85614;POINT;85614;FROM_FD;;;;;更名;更名
Hua Xian;华县;華縣;118.18964;35.32058;今山东费县东偏北古城里;Xian;县;6;正確;23;;80;;85615;POINT;85615;FROM_FD;;;;;更名;撤销
Ju Xian;莒县;莒縣;118.83442;35.58189;今山东莒县;Xian;县;6;正確;-221;;13;;85617;POINT;85617;FROM_FD;;;;;新建;更名
Juling Xian;莒陵县;莒陵縣;118.83442;35.58189;今山东莒县;Xian;县;6;正確;14;;23;;85618;POINT;85618;FROM_FD;;;;;更名;更名
Ju Xian;莒县;莒縣;118.83442;35.58189;今山东莒县;Xian;县;6;正確;23;;1368;;85619;POINT;85619;FROM_FD;;;;;更名;撤销
Gaoguang Houguo;高广侯国;高廣侯國;118.74435;35.47238;今山东莒县南大官庄;Houguo;侯国;6;正確;-53;;8;;85620;POINT;85620;FROM_FD;;;;;新建;撤销
Bei Xian;椑县;椑縣;119.00465;35.27481;今山东莒南县高家柳沟;Xian;县;6;正確;-201;;13;;85621;POINT;85621;FROM_FD;;;;;新建;更名
Shiming Xian;识命县;識命縣;119.00465;35.27481;今山东莒南县高家柳沟;Xian;县;6;正確;14;;23;;85622;POINT;85622;FROM_FD;;;;;更名;更名
Bei Xian;椑县;椑縣;119.00465;35.27481;今山东莒南县东北高家柳沟;Xian;县;6;正確;23;;29;;85623;POINT;85623;FROM_FD;;;;;更名;撤销
Ji Houguo;箕侯国;箕侯國;119.00708;35.86647;今山东莒县东北宋家路西附近;Houguo;侯国;6;正確;-53;;29;;85624;POINT;85624;FROM_FD;;;;;新建;撤销
Lingmen Xian;灵门县;靈門縣;119.09924;36.12208;今山东诸城县西北石埠子;Xian;县;6;正確;-201;;29;;85625;POINT;85625;FROM_FD;;;;;新建;撤销
Mengyin Xian;蒙阴县;蒙陰縣;117.86095;35.69789;今山东蒙阴县西南大城子;Xian;县;6;正確;-187;;13;;85626;POINT;85626;FROM_FD;;;;;新建;更名
Mengen Xian;蒙恩县;蒙恩縣;117.86095;35.69789;今山东蒙阴县西南大城子;Xian;县;6;正確;14;;23;;85627;POINT;85627;FROM_FD;;;;;更名;更名
Mengyin Xian;蒙阴县;蒙陰縣;117.86095;35.69789;今山东蒙阴县西南大城子;Xian;县;6;正確;23;;29;;85628;POINT;85628;FROM_FD;;;;;更名;撤销
Dongguan Houguo;东莞侯国;東莞侯國;118.62395;35.79103;今山东沂水县;Houguo;侯国;6;正確;-127;;-125;;85633;POINT;85633;FROM_FD;;;;;新建;更名
Dongguan Xian;东莞县;東莞縣;118.62395;35.79103;今山东沂水县;Xian;县;6;正確;-124;;582;;85634;POINT;85634;FROM_FD;;;;;新建;更名
Dongan Xian;东安县;東安縣;118.56107;35.68157;今山东沂水县西南姚家店子后城子;Xian;县;6;正確;-164;;296;;85637;POINT;85637;FROM_FD;;;;;新建;撤销
Gaoxiang Houguo;高乡侯国;高鄉侯國;118.82428;35.18228;今山东莒南县;Houguo;侯国;6;正確;-50;;29;;85639;POINT;85639;FROM_FD;;;;;新建;撤销
Yangdu Xian;阳都县;陽都縣;118.52669;35.49289;今山东沂南县南黄疃;Xian;县;6;正確;-164;;419;;85640;POINT;85640;FROM_FD;;;;;新建;撤销
Gai Houguo;盖侯国;蓋侯國;118.30846;36.05622;今山东沂源县东南盖冶;Houguo;侯国;6;正確;-152;;-113;;85641;POINT;85641;FROM_FD;;;;;新建;更名
Gai Xian;盖县;蓋縣;118.30846;36.05622;今山东沂源县东南盖冶;Xian;县;6;正確;-112;;555;;85642;POINT;85642;FROM_FD;;;;;更名;撤销
