name;feature;feature_type;county_han;county_xin;ID;name_type;X_COOR;Y_COOR;pref_han;pref_xin;pref_id
临洮县;南部都尉治;mili_admin;临洮县;临洮县;60210;不改;104.03025;34.43646;陇西郡;厌戎郡;602
姑幕县;都尉治;mili_admin;姑幕县;季睦县;23309;嘉名;119.09924;36.12208;琅邪郡;填夷郡;233
汉阳县;都尉治;mili_admin;汉阳县;新通县;50409;意义;103.6222193;26.9745626;犍为郡;西顺郡;504
定莋县;都尉治;mili_admin;定莋县;定莋县;50505;不改;100.817771;27.6870924;越巂郡;集巂郡;505
夜郎县;都尉治;mili_admin;夜郎县;同亭县;50710;亭;105.38912;25.87149;牂柯郡;同亭郡;507
进桑县;南部都尉治;mili_admin;进桑县;进桑县;50716;不改;103.4004158;23.1012272;牂柯郡;同亭郡;507
勇士县;属国都尉治;mili_admin;勇士县;纪德县;60410;嘉名;104.1570114;35.9424262;天水郡;填戎郡;604
豲道;骑都尉治;mili_admin;豲道;豲道;60415;不改;104.6776694;34.9606082;天水郡;填戎郡;604
休屠县;都尉治;mili_admin;休屠县;晏然县;60504;嘉名;102.5761004;38.1537722;武威郡;张掖郡;605
休屠县;北部都尉治;mili_admin;休屠县;晏然县;60504;嘉名;102.5761004;38.1537722;武威郡;张掖郡;605
日勒县;都尉治;mili_admin;日勒县;勒治县;60606;治;101.49866;38.44008;张掖郡;设屏郡;606
番和县;农都尉治;mili_admin;番和县;罗虏县;60608;意义;101.84153;38.2479;张掖郡;设屏郡;606
居延县;都尉治;mili_admin;居延县;居成县;60609;改一;101.16285;41.83586;张掖郡;设屏郡;606
